,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-10-25T00:00:00.000000Z, , , , , ,,2012-10-25T00:22:33.600000Z
1, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-10-25T00:00:00.000000Z, , , , , ,,2012-10-25T01:02:18.125000Z
2, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-10-25T00:00:00.000000Z, , , , , ,,2012-10-25T01:04:09.725000Z
3, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-10-25T00:00:00.000000Z, , , , , ,,2012-10-25T01:07:05.100000Z
4, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-10-25T00:00:00.000000Z, , , , , ,,2012-10-25T03:12:39.150000Z
5, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-10-25T00:00:00.000000Z, , , , , ,,2012-10-25T04:03:05.300000Z
6, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-10-25T00:00:00.000000Z, , , , , ,,2012-10-25T04:11:12.275000Z
7, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-10-25T00:00:00.000000Z, , , , , ,,2012-10-25T06:37:08.250000Z
8, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-10-25T00:00:00.000000Z, , , , , ,,2012-10-25T06:41:31.800000Z
9, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-10-25T00:00:00.000000Z, , , , , ,,2012-10-25T07:29:04.875000Z
10, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-10-25T00:00:00.000000Z, , , , , ,,2012-10-25T13:10:25.675000Z
11, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-10-25T00:00:00.000000Z, , , , , ,,2012-10-25T13:27:25.650000Z
12, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-10-25T00:00:00.000000Z, , , , , ,,2012-10-25T13:50:50.550000Z
13, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-10-25T00:00:00.000000Z, , , , , ,,2012-10-25T13:59:24.075000Z
14, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-10-25T00:00:00.000000Z, , , , , ,,2012-10-25T17:13:45.050000Z
15, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-10-25T00:00:00.000000Z, , , , , ,,2012-10-25T19:28:03.100000Z
16, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-10-25T00:00:00.000000Z, , , , , ,,2012-10-25T19:56:06.100000Z
17, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-10-25T00:00:00.000000Z, , , , , ,,2012-10-25T23:43:19.500000Z
18, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-10-25T00:00:00.000000Z, , , , , ,2012-10-25T00:22:40.350000Z,
19, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-10-25T00:00:00.000000Z, , , , , ,2012-10-25T01:03:16.050000Z,
20, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-10-25T00:00:00.000000Z, , , , , ,2012-10-25T01:34:53.825000Z,
21, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-10-25T00:00:00.000000Z, , , , , ,2012-10-25T02:58:40.925000Z,
22, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-10-25T00:00:00.000000Z, , , , , ,2012-10-25T04:03:09.350000Z,
23, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-10-25T00:00:00.000000Z, , , , , ,2012-10-25T04:11:20.650000Z,
24, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-10-25T00:00:00.000000Z, , , , , ,2012-10-25T04:11:38.625000Z,
25, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-10-25T00:00:00.000000Z, , , , , ,2012-10-25T04:16:29.200000Z,
26, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-10-25T00:00:00.000000Z, , , , , ,2012-10-25T04:24:42.925000Z,
27, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-10-25T00:00:00.000000Z, , , , , ,2012-10-25T06:30:15.850000Z,
28, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-10-25T00:00:00.000000Z, , , , , ,2012-10-25T06:41:58.950000Z,
29, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-10-25T00:00:00.000000Z, , , , , ,2012-10-25T07:29:30.625000Z,
30, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-10-25T00:00:00.000000Z, , , , , ,2012-10-25T10:11:06.100000Z,
31, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-10-25T00:00:00.000000Z, , , , , ,2012-10-25T13:09:51.250000Z,
32, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-10-25T00:00:00.000000Z, , , , , ,2012-10-25T13:59:30.375000Z,
33, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-10-25T00:00:00.000000Z, , , , , ,2012-10-25T22:38:32.225000Z,
34, , ,TA, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-10-25T00:00:00.000000Z, , , , , ,2012-10-25T23:43:24.925000Z,
