,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,7D, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-10-15T00:00:00.024998Z, , , , , ,,2012-10-15T00:54:46.774998Z
1, , ,7D, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-10-15T00:00:00.024998Z, , , , , ,,2012-10-15T01:09:32.649998Z
2, , ,7D, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-10-15T00:00:00.024998Z, , , , , ,,2012-10-15T01:33:18.649998Z
3, , ,7D, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-10-15T00:00:00.024998Z, , , , , ,,2012-10-15T12:37:17.524998Z
4, , ,7D, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-10-15T00:00:00.024998Z, , , , , ,,2012-10-15T12:53:17.499998Z
5, , ,7D, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-10-15T00:00:00.024998Z, , , , , ,,2012-10-15T14:50:07.899998Z
6, , ,7D, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-10-15T00:00:00.024998Z, , , , , ,,2012-10-15T14:55:21.674998Z
7, , ,7D, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-10-15T00:00:00.024998Z, , , , , ,,2012-10-15T17:17:53.299998Z
8, , ,7D, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-10-15T00:00:00.024998Z, , , , , ,,2012-10-15T19:16:16.299998Z
9, , ,7D, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-10-15T00:00:00.024998Z, , , , , ,,2012-10-15T19:52:46.449998Z
10, , ,7D, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-10-15T00:00:00.024998Z, , , , , ,,2012-10-15T21:11:40.499998Z
11, , ,7D, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-10-15T00:00:00.024998Z, , , , , ,,2012-10-15T21:15:58.024998Z
12, , ,7D, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-10-15T00:00:00.024998Z, , , , , ,,2012-10-15T22:04:39.049998Z
13, , ,7D, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-10-15T00:00:00.024998Z, , , , , ,,2012-10-15T22:29:13.324998Z
14, , ,7D, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-10-15T00:00:00.024998Z, , , , , ,,2012-10-15T22:39:10.124998Z
15, , ,7D, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-10-15T00:00:00.024998Z, , , , , ,2012-10-15T00:54:53.149998Z,
16, , ,7D, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-10-15T00:00:00.024998Z, , , , , ,2012-10-15T01:33:25.574998Z,
17, , ,7D, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-10-15T00:00:00.024998Z, , , , , ,2012-10-15T01:56:21.249998Z,
18, , ,7D, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-10-15T00:00:00.024998Z, , , , , ,2012-10-15T02:24:19.024998Z,
19, , ,7D, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-10-15T00:00:00.024998Z, , , , , ,2012-10-15T03:06:27.499998Z,
20, , ,7D, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-10-15T00:00:00.024998Z, , , , , ,2012-10-15T07:25:47.049998Z,
21, , ,7D, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-10-15T00:00:00.024998Z, , , , , ,2012-10-15T10:27:17.149998Z,
22, , ,7D, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-10-15T00:00:00.024998Z, , , , , ,2012-10-15T14:29:21.099998Z,
23, , ,7D, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-10-15T00:00:00.024998Z, , , , , ,2012-10-15T14:34:46.474998Z,
24, , ,7D, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-10-15T00:00:00.024998Z, , , , , ,2012-10-15T14:50:16.674998Z,
25, , ,7D, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-10-15T00:00:00.024998Z, , , , , ,2012-10-15T17:59:57.449998Z,
26, , ,7D, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-10-15T00:00:00.024998Z, , , , , ,2012-10-15T21:16:04.474998Z,
27, , ,7D, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-10-15T00:00:00.024998Z, , , , , ,2012-10-15T21:56:56.674998Z,
28, , ,7D, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-10-15T00:00:00.024998Z, , , , , ,2012-10-15T22:07:03.199998Z,
29, , ,7D, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-10-15T00:00:00.024998Z, , , , , ,2012-10-15T22:29:16.999998Z,
30, , ,7D, ,I02D,,44.1059,-123.846901,109.0, ,40.0,2012-10-15T00:00:00.024998Z, , , , , ,2012-10-15T23:34:25.174998Z,
